ID,H,G,Epoch,MeanAnomaly,ArgPerihelion,LongAscNode,Inclination,Eccentricity,MeanMotion,SemiMajorAxis,Uncertainty,Reference,NObs,NOppositions,ObsStart,ObsEnd,RMS,CoarsePerturbers,PrecisePerturbers,Computer,ReadableDesignation,LastObsDate
c3001,15.74,0.15,K2555,330.85691,67.03763,82.68142,11.72487,0.0260447,0.18184323,3.0855881,0,MPO890951,383.0,15,2004,024,0.87,M-v,3Ek,MPCLINUX,(383001) 2005 JO133,20241205
c3101,17.78,0.15,K2555,232.40172,47.28561,240.55536,2.15434,0.1028556,0.27436531,2.3455782,0,MPO916856,312.0,13,2005,025,0.92,M-v,3Ek,MPCLINUX,(383101) 2005 SQ154,20250423
c3201,16.0,0.15,K2555,235.41816,127.75177,311.71746,31.44294,0.2970901,0.23397725,2.6082765,0,E2025-MA1,357.0,9,2002,025,0.74,M-v,3Ek,MPCLINUX,(383201) 2005 YX36,20250624
c3301,16.8,0.15,K2555,256.82151,22.98326,63.07336,6.50774,0.0937219,0.22973711,2.6402717,0,MPO843908,385.0,15,2004,024,0.86,M-v,3Ek,MPCLINUX,(383301) 2006 GR5,20240706
c3401,17.41,0.15,K2555,141.63344,0.43596,53.89745,5.71439,0.2035825,0.28878907,2.2668123,0,MPO916857,431.0,12,2004,025,0.86,M-v,3Ek,MPCLINUX,(383401) 2006 UU6,20250501
c3501,17.63,0.15,K2555,78.97549,56.26844,138.39037,5.71284,0.126391,0.28852967,2.2681707,0,E2025-O08,314.0,13,2001,025,0.81,M-v,3Ek,MPCLINUX,(383501) 2007 CA1,20250716
c3601,17.94,0.15,K2555,0.3234,124.73745,46.7094,2.62215,0.136915,0.26971806,2.3724443,0,MPO916859,181.0,12,1996,025,0.87,M-v,3Ek,MPCLINUX,(383601) 2007 HF29,20250322
c3701,16.67,0.15,K2555,61.40623,157.16625,308.41489,3.89443,0.1412838,0.18525486,3.0475884,0,MPO916860,269.0,11,2007,025,0.89,M-v,3Ek,MPCLINUX,(383701) 2007 TT426,20250425
c3801,15.96,0.15,K2555,13.4272,201.21066,302.0499,11.69148,0.2994144,0.17369398,3.1813604,0,MPO916860,456.0,11,2007,025,0.81,M-v,3Ek,MPCLINUX,(383801) 2007 YZ26,20250520
c3901,17.06,0.15,K2555,276.35079,204.11842,191.56852,2.80732,0.1653506,0.22642003,2.665996,0,E2025-O08,362.0,13,2006,025,0.82,M-v,3Ek,MPCLINUX,(383901) 2008 SN52,20250716
c4001,17.18,0.15,K2555,193.95344,186.16605,54.06571,4.0109,0.0867748,0.2452293,2.5278685,0,MPO890960,271.0,11,2004,024,0.83,M-v,3Ek,MPCLINUX,(384001) 2008 UP24,20241218
c4101,17.21,0.15,K2555,160.64835,29.41001,11.42456,1.86953,0.0712743,0.20246583,2.8723337,0,MPO916861,120.0,14,2002,025,0.95,M-v,3Ek,MPCLINUX,(384101) 2008 WW45,20250421
c4201,16.67,0.15,K2555,144.0708,76.63617,324.95146,10.58664,0.0660148,0.19171918,2.9786925,0,MPO916862,173.0,13,2001,025,0.91,M-v,3Ek,MPCLINUX,(384201) 2009 BW155,20250427
c4301,17.62,0.15,K2555,109.58637,252.53204,189.36954,4.63384,0.0781437,0.284309,2.2905634,0,MPO916863,347.0,14,2002,025,0.79,M-v,3Ek,MPCLINUX,(384301) 2009 SS19,20250428
c4401,17.13,0.15,K2555,309.21013,261.32479,129.84596,5.58381,0.2216825,0.24210058,2.5496007,0,MPO843912,362.0,13,2002,024,0.7,M-v,3Ek,MPCLINUX,(384401) 2009 WK43,20240530
c4501,17.16,0.15,K2555,242.91059,166.90321,322.57625,5.624,0.0505272,0.23579384,2.5948629,0,MPO843913,223.0,13,2006,024,0.96,M-v,3Ek,MPCLINUX,(384501) 2010 CJ108,20240706
c4601,17.05,0.15,K2555,123.28475,46.14352,142.30785,9.91431,0.1067826,0.21478227,2.7614494,0,MPO843913,227.0,10,2005,024,0.93,M-v,3Ek,MPCLINUX,(384601) 2010 OW101,20240706
c4701,15.77,0.15,K2555,94.70804,234.2123,78.94198,10.18655,0.0616985,0.17390679,3.1787646,0,MPO904490,297.0,13,2002,025,0.86,M-v,3Ek,MPCLINUX,(384701) 2011 HL12,20250220
c4801,16.86,0.15,K2555,251.61774,71.04279,288.79755,7.51933,0.1690802,0.21166554,2.7884912,0,E2025-N01,223.0,14,2000,025,0.97,M-v,3Ek,MPCLINUX,(384801) 2012 QJ30,20250630
c4901,16.94,0.15,K2555,291.52023,143.58116,213.37469,5.39654,0.0550477,0.21522719,2.7576425,0,E2025-NA0,266.0,14,2003,025,0.9,M-v,3Ek,MPCLINUX,(384901) 2012 TV31,20250628
c5001,15.98,0.15,K2555,118.03228,115.0622,235.48422,8.50069,0.1007426,0.17559976,3.1583004,0,MPO890969,281.0,14,2001,024,0.88,M-v,3Ek,MPCLINUX,(385001) 2012 TZ229,20241224
c5101,17.0,0.15,K2555,236.47274,299.15285,52.73143,2.65881,0.0814668,0.19968978,2.8988929,0,E2025-KE2,224.0,18,1999,025,1.03,M-v,3Ek,MPCLINUX,(385101) 2012 VH66,20250530
c5201,6.49,0.15,K2555,150.181,103.61783,140.70354,12.41069,0.0672701,0.00344497,43.4189525,3,MPO890971,64.0,11,1999,018,0.29,M-v,3Ek,Veres,(385201) 1999 RN215,20181020
c5301,16.72,0.15,K2555,100.30797,255.60886,141.22723,6.26795,0.1582038,0.18081852,3.0972347,0,MPO916868,159.0,11,2001,025,0.91,M-v,3Ek,MPCLINUX,(385301) 2001 UU226,20250330
c5401,17.09,0.15,K2555,156.88689,347.82917,48.53121,7.44983,0.1058633,0.28014528,2.3132035,0,MPO916869,421.0,12,2002,025,0.88,M-v,3Ek,MPCLINUX,(385401) 2002 VF127,20250426
c5501,17.72,0.15,K2555,189.48926,227.73608,168.21243,23.05751,0.103927,0.38129381,1.8834881,0,E2025-M63,574.0,12,2004,025,0.78,M-v,3Ek,MPCLINUX,(385501) 2004 EZ24,20250621
c5601,17.21,0.15,K2555,12.73594,61.01682,155.16377,2.51606,0.0174254,0.20240353,2.8729231,0,E2025-M18,313.0,13,2005,025,0.95,M-v,3Ek,MPCLINUX,(385601) 2005 ES116,20250618
c5701,17.54,0.15,K2555,278.96152,311.73827,341.53887,5.15535,0.1517164,0.28087911,2.3091728,0,E2025-KC9,142.0,14,2004,025,0.82,M-v,3Ek,MPCLINUX,(385701) 2005 TZ158,20250427
c5801,17.89,0.15,K2555,249.61686,65.40669,1.63515,2.66002,0.1774907,0.23177065,2.6248053,0,E2023-D50,139.0,9,2000,023,0.86,M-v,3Ek,MPCLINUX,(385801) 2006 CS18,20230222
c5901,17.85,0.15,K2555,163.6404,183.15659,246.17343,3.97965,0.1505476,0.29459127,2.2369493,0,E2025-KB8,242.0,13,2003,025,0.88,M-v,3Ek,MPCLINUX,(385901) 2006 SK343,20250527
c6001,18.06,0.15,K2555,85.05027,292.92074,184.02108,3.49356,0.1449059,0.28043849,2.3115908,0,MPO916872,254.0,12,1995,025,0.9,M-v,3Ek,MPCLINUX,(386001) 2007 CG56,20250503
