id,geo_point_2d,intensidad,alcaldia,area_m2,perime_m,intens_num,int2
1169.0,"19.3499058005,-99.077817594",Muy Alto,Iztapalapa,205354.422141,2008.48275556,100,5
1213.0,"19.402326919,-99.0694782044",Muy Alto,Iztacalco,201651.757718,2080.09967233,100,5
1289.0,"19.4602664143,-99.1738649126",Muy Alto,Azcapotzalco,447261.883433,2974.83268968,100,5
1300.0,"19.3878231139,-99.2591374096",Muy Bajo,Cuajimalpa de Morelos,951005.300916,5587.84682561,0 a 25,1
1309.0,"19.4926295395,-99.0887881851",Muy Alto,Gustavo A. Madero,257551.631151,2067.96220398,100,5
1313.0,"19.4800850732,-99.2085541568",Muy Alto,Azcapotzalco,439499.730471,3318.79874141,100,5
1373.0,"19.3175961042,-99.1479541178",Alto,Coyoacán,282602.245299,2551.22457486,73 a 99,4
1379.0,"19.3468866336,-99.3197537228",Muy Bajo,Cuajimalpa de Morelos,98264.9224604,2372.98913419,0 a 25,1
1389.0,"19.3269925324,-99.1630529617",Muy Bajo,Coyoacán,276961.843633,2317.22076171,0 a 25,1
1398.0,"19.3137286223,-99.1131606556",Muy Alto,Coyoacán,160625.212787,1637.81458236,100,5
1566.0,"19.3445608632,-99.1792877428",Muy Bajo,Coyoacán,181097.976512,2002.46365407,0 a 25,1
1570.0,"19.5000291777,-99.1871248993",Muy Alto,Azcapotzalco,676150.351185,3658.76675324,100,5
1571.0,"19.5042449272,-99.197668288",Muy Alto,Azcapotzalco,999502.238777,5803.31786755,100,5
1580.0,"19.3171887226,-99.1021870249",Muy Alto,Coyoacán,143397.709911,1518.24864506,100,5
1582.0,"19.3362229306,-99.1388712152",Muy Alto,Coyoacán,51260.917482,958.968966821,100,5
1603.0,"19.3724853838,-99.2730509453",Muy Bajo,Cuajimalpa de Morelos,1600469.9047,8772.88022643,0 a 25,1
1606.0,"19.3149913243,-99.2535731991",Muy Bajo,La Magdalena Contreras,284507.298715,2759.34171423,0 a 25,1
1607.0,"19.3113203078,-99.2496634082",Muy Bajo,La Magdalena Contreras,185663.773912,2332.65798727,0 a 25,1
1612.0,"19.3326902013,-99.2123548245",Muy Bajo,La Magdalena Contreras,70351.6539618,1152.52229598,0 a 25,1
1613.0,"19.3069493066,-99.2368557044",Muy Bajo,La Magdalena Contreras,278609.853635,2102.94122795,0 a 25,1
1691.0,"19.3572373324,-99.0255103246",Muy Alto,Iztapalapa,538378.590389,3892.57616241,100,5
1712.0,"19.3658124098,-99.0862135095",Muy Alto,Iztapalapa,684335.567231,4625.10987137,100,5
1714.0,"19.2912099839,-99.246117513",Muy Bajo,La Magdalena Contreras,918722.462322,6324.40273952,0 a 25,1
1734.0,"19.3590643858,-99.2884391483",Muy Bajo,Cuajimalpa de Morelos,734585.270628,5200.67236431,0 a 25,1
1745.0,"19.3315560975,-99.2189985628",Muy Bajo,La Magdalena Contreras,32055.2548951,836.106938454,0 a 25,1
1754.0,"19.3130469767,-99.1222375517",Muy Alto,Coyoacán,143640.043236,1806.45009277,100,5
1765.0,"19.3108474344,-99.2466145361",Muy Bajo,La Magdalena Contreras,321153.093148,3154.61735696,0 a 25,1
1790.0,"19.4346410865,-99.0907113995",Muy Alto,Venustiano Carranza,276416.586131,2285.55171179,100,5
1796.0,"19.4582996511,-99.2079956922",Alto,Miguel Hidalgo,265036.132781,2306.40726245,73 a 99,4
1798.0,"19.4491344335,-99.2129099325",Muy Bajo,Miguel Hidalgo,63466.7873366,1125.58626768,0 a 25,1
1804.0,"19.4729180579,-99.172931169",Muy Alto,Azcapotzalco,53357.8847836,1062.53824349,100,5
1829.0,"19.435980979,-99.0956056193",Muy Alto,Venustiano Carranza,132699.323249,1815.47188456,100,5
1851.0,"19.4470036704,-99.1158125338",Muy Alto,Venustiano Carranza,158063.085101,2163.83525492,100,5
1852.0,"19.4441765224,-99.1192934095",Muy Alto,Venustiano Carranza,194501.361282,2175.91222564,100,5
1861.0,"19.4287144526,-99.1938276321",Muy Bajo,Miguel Hidalgo,275779.063818,2800.64725919,0 a 25,1
1884.0,"19.4009210056,-99.1860523098",Alto,Miguel Hidalgo,194629.369608,2006.06358117,73 a 99,4
1892.0,"19.4111160823,-99.1233107638",Muy Alto,Venustiano Carranza,163730.213535,1807.59770328,100,5
1905.0,"19.4551980228,-99.1317826475",Muy Alto,Cuauhtémoc,104195.429014,1361.68714117,100,5
1910.0,"19.4047754636,-99.2160222495",Muy Bajo,Miguel Hidalgo,1390697.73962,9771.74609184,0 a 25,1
1912.0,"19.3721554593,-99.1830620782",Muy Bajo,Benito Juárez,415084.3627,2779.03985815,0 a 25,1
1967.0,"19.4489520796,-99.1977900113",Muy Alto,Miguel Hidalgo,140205.028073,1704.14935659,100,5
1970.0,"19.4084338369,-99.1657330616",Muy Alto,Cuauhtémoc,242194.762854,2080.9362488,100,5
2024.0,"19.5165285785,-99.1296498649",Muy Alto,Gustavo A. Madero,258225.342165,2474.23686437,100,5
2063.0,"19.3751647154,-99.1692827113",Muy Alto,Benito Juárez,277193.401688,2499.60585822,100,5
2107.0,"19.5101762935,-99.0998092262",Alto,Gustavo A. Madero,122457.297731,1864.36169149,73 a 99,4
2109.0,"19.4495648374,-99.0646524771",Muy Alto,Gustavo A. Madero,194660.23424,1791.40742624,100,5
2123.0,"19.5053127548,-99.0952811139",Muy Alto,Gustavo A. Madero,154335.730527,1809.41754604,100,5
2127.0,"19.4030403112,-99.0646291945",Muy Alto,Iztacalco,318082.548505,3365.65613527,100,5
2138.0,"19.4730892083,-99.1421035292",Muy Alto,Gustavo A. Madero,248465.238897,2734.21887611,100,5
2143.0,"19.4756276503,-99.0749941178",Muy Alto,Gustavo A. Madero,570674.121931,3137.28737446,100,5
2150.0,"19.4869733982,-99.1279692604",Muy Alto,Gustavo A. Madero,254872.505711,2244.3764018,100,5
2195.0,"19.5344216254,-99.153431264",Alto,Gustavo A. Madero,732732.813014,3604.1598819,73 a 99,4
2198.0,"19.5314682326,-99.147785726",Muy Alto,Gustavo A. Madero,129582.12434,1647.66423711,100,5
2211.0,"19.5724863359,-99.1267640415",Muy Bajo,Gustavo A. Madero,411776.926443,3087.54977972,0 a 25,1
2222.0,"19.5789444313,-99.134421544",Muy Bajo,Gustavo A. Madero,526659.67276,3576.66499434,0 a 25,1
2241.0,"19.40083572,-99.13336069",Muy Alto,Iztacalco,319321.713942,2591.14831448,100,5
